nom,adresse,telephone,site_web,URL Direct
immobilier-NE.ch - La Chaux-de-Fonds - Neuchâtel - Littoral,"Rue du Progrès 2a, 2300 La Chaux-de-Fonds",+41 79 400 14 61,http://www.immobilier-neuchatel.ch/,https://immobilier-neuchatel.ch/nos-biens/
Naef Immobilier Neuchâtel SA,"Rue des Terreaux 9, 2000 Neuchâtel",+41 32 737 27 27,https://www.naef.ch/?utm_source=gmb&utm_medium=organic&utm_campaign=neuchatel,https://www.naef.ch/acheter/appartements-maisons/?sortingField=recent&zoom=8
BARNES | Neuchâtel : Agence immobilière,"Rue du Coq-d'Inde 10, 2000 Neuchâtel",+41 32 723 23 43,https://www.barnes-suisse.ch/p3951-agence-immobiliere-neuchatel.html,https://www.barnes-suisse.ch/p2777-acheter.html?agence_id=180
Palombo Immobilier,"Rue du Puits-Godet 10 a, 2000 Neuchâtel",+41 79 362 62 66,http://www.palombo-immobilier.ch/,https://www.palombo-immobilier.ch/biens-a-vendre/
Wayne | Agence immobilière,"Neuchatel et Colombier, Quai Robert-Comtesse 3, 2000 Neuchâtel",+41 79 609 25 34,https://wayne.ch/,https://www.wayne.ch/#acheter
Littoral-Gérance SA Régie immobilière,"Rte des Falaises 7, 2001 Neuchâtel",+41 32 729 97 20,http://www.littoralgerance.ch/,https://littoralgerance.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&salestypes[]=buy
"Ribaux von Kessel, services immobiliers, SA","Rue de la Promenade-Noire 6, 2000 Neuchâtel",+41 32 724 67 41,http://www.rvksa.ch/,https://www.rvksa.ch/rvk/recherche-achats
Régie Immobilière Jouval SA,"Rue de la Raffinerie 1, 2000 Neuchâtel",+41 32 723 08 88,https://jouval.ch/,https://jouval.ch/ventes/?layout=half_map&es_category=19&es=1&search_by=keywords&es_category[2]=19&page_num=1&paged-1=1
Omnia Immobilier Neuchâtel,"Fbg de l'Hôpital 21, 2000 Neuchâtel",+41 32 721 26 26,http://www.omnia.ch/,https://omnia.ch/acheter/
Castoldi Immobilier,"Grand'Rue 63, 2035 Corcelles-Cormondrèche",+41 76 329 16 69,https://castoldi-immobilier.ch/,https://castoldi-immobilier.ch/property-status/a-vendre/
Fidimmobil Agence Immobilière et Commerciale SA,"Fbg de l'Hôpital 13, 2000 Neuchâtel",+41 32 729 00 60,http://www.fidimmobil.ch/,https://vente.fidimmobil.ch/
gpc gérance ppe courtage sa,"Rue du Puits-Godet 10a, 2000 Neuchâtel",+41 32 722 12 00,http://www.gpc.ch/,https://gpc.ch/a-vendre-neuchatel.html
Reysus Gérance SA,"Rue Haute 21B, 2013 Milvignes",+41 32 843 40 40,http://www.reysus.ch/,https://www.reysus.ch/vente
Procité S.A,"Pl. Pury 3, 2000 Neuchâtel",+41 32 724 11 11,http://www.procite.ch/,https://www.procite.ch/biens-a-vendre
Compagnie Immobilière Romande Sàrl,"Chem. des Longues Raies 13, 2013 Colombier",+41 32 845 00 32,http://www.cirgroup.ch/,https://cirgroup.ch/vente-1/
Michel Wolf SA,"Fbg du Lac 9, 2000 Neuchâtel",+41 32 721 44 00,https://www.michelwolfsa.ch/,https://www.michelwolfsa.ch/acheter/
Muller et Christe SA,"Rue de la Treille 3, 2001 Neuchâtel",+41 32 722 16 16,http://www.mulleretchriste.ch/,https://www.mulleretchriste.ch/biens/acheter/
Diatimìs Agence immobilière,"Rue de la Musinière 15, 2072 St Blaise",+41 32 536 06 36,https://diatimis.ch/,https://diatimis.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&categories_not[]=custom_recherche-client&salestypes[]=buy
RT-Immo SA,"Rue de la Société 5, 2013 Colombier",+41 32 756 44 44,http://www.rt-immo.ch/,https://rt-immo.ch/annonces/?layout=list&show_currencies=0&sort=lowest_price&sort-1=lowest_price&page_num=1&paged-1=1
LAFIDU Immobilier Sàrl,"Chem. des Sources 4, 2013 Colombier",+41 32 545 32 93,https://www.lafidu.ch/,https://www.lafidu.ch/acheter/
Naef Immobilier,"Av. Léopold-Robert 62, 2300 La Chaux-de-Fonds",+41 32 910 82 00,https://www.naef.ch/?utm_source=gmb&utm_medium=organic&utm_campaign=la-chaux-de-fonds,https://www.naef.ch/acheter/appartements-maisons/?sortingField=recent&zoom=8
Bolliger Immobilier,"Av. Léopold-Robert 12, 2300 La Chaux-de-Fonds",+41 32 911 90 90,http://www.bolliger-immobilier.ch/,https://vente.bolliger-immobilier.ch/a-vendre
Gérance Ellipsis SA,"Rue de la Serre 15, 2300 La Chaux-de-Fonds",+41 32 925 70 60,http://www.ellipsis-sa.ch/,https://www.ellipsis-sa.ch/index.php/vente/tous/242/alone_category/61-Tous
Pro Immob S.A.,"Av. Léopold-Robert 36, 2300 La Chaux-de-Fonds",+41 32 911 22 00,http://www.proimmob.ch/,https://www.proimmob.ch/a-vendre
Espace et Habitat | Agence Immobilière,"Av. Léopold-Robert 67, 2300 La Chaux-de-Fonds",+41 32 913 77 77,https://www.espace-et-habitat.ch/,https://www.espace-et-habitat.ch/advanced-search-results/?filter_search_type[]=all&submit=Rechercher
Gérance Charles Berset S.A.,"Rue Jardinière 87, 2300 La Chaux-de-Fonds",+41 32 910 92 22,http://www.berset-gerance.ch/,https://berset-gerance.ch/ventes/
Métropole Gérance SA,"Av. Léopold-Robert 70, 2300 La Chaux-de-Fonds",+41 32 968 16 28,https://www.gerance-metropole.ch/,
"Régie Fidimmobil, Agence immobilière Commerciale SA","Av. Léopold-Robert 56, 2300 La Chaux-de-Fonds",+41 32 913 45 75,http://www.fidimmobil.ch/,https://vente.fidimmobil.ch/
Vimova,"Av. Léopold-Robert 40, 2300 La Chaux-de-Fonds",+41 58 123 52 60,https://vimova.ch/agentur/la-chaux-de-fonds/,https://vimova.ch/fr/acheter/
Gérance immobilière Rooslimmo,"Rue de la Prairie 29, 2300 La Chaux-de-Fonds",+41 79 400 71 23,https://rooslimmo.ch/,https://rooslimmo.ch/property/?status=vente&post_type=property&s=
Gérance Bosshart & Gautschi SA,"Av. Léopold-Robert 62, 2300 La Chaux-de-Fonds",+41 32 913 42 00,http://www.gerancebg.ch/index.php/contact,
PIMM,"Rue de la Charrière 90, 2300 La Chaux-de-Fonds",+41 32 913 70 00,http://www.pimm.ch/,https://www.pimm.ch/fr/acheter
"Cité de Beau Site, Société Coopérative à la Chaux de Fonds","Rue des Rosiers 4, 2300 La Chaux-de-Fonds",+41 32 913 08 85,http://www.citedebeausite.ch/,
gérance.ne,"Rue du Pont 25, 2300 La Chaux-de-Fonds",+41 32 889 64 90,http://www.gerance.ne.ch/,
Gérance des immeubles communaux,"Rue de la Serre 23, 2300 La Chaux-de-Fonds",+41 32 967 62 61,,
Gérance Kuenzer,"Rue du Parc 6, 2300 La Chaux-de-Fonds",+41 32 968 75 78,,
Hypoimmo Sa,"Rue du Pont 6, 2400 Le Locle",+41 32 323 48 48,https://hypoimmo.ch/,https://hypoimmo.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&salestypes[]=buy
M&M Immobilier Sàrl,"Rue du Progrès 117, 2300 La Chaux-de-Fonds",+41 32 501 70 70,https://www.mm-immobilier.ch/,https://www.mm-immobilier.ch/en-vente
Naspi Gestion SA,"Av. Léopold-Robert 58, 2300 La Chaux-de-Fonds",+41 32 914 70 85,http://www.naspi.ch/,
Fiduciaire-Gérance Raynaud Sàrl,"Rue des Envers 47, 2400 Le Locle",+41 32 933 75 33,http://www.fiduraynaud.ch/,https://www.fiduraynaud.ch/vente/
Gimmobi,"Grande-Rue 18, 2400 Le Locle",+41 79 635 92 41,http://gimmobi.ch/,https://gimmobi.ch/biens-a-vendre/
Apache Immobilier Sàrl,"Av. du Collège 5, 2400 Le Locle",+41 32 931 41 42,https://www.apacheimmobilier.ch/,https://apacheimmobilier.ch/biens-a-vendre
Bureau immobilère E. Peruccio,"Rue de France 29, 2400 Le Locle",+41 32 931 16 16,http://www.peruccio.ch/,
D&C Immo,"Rue des Envers, 2400 Le Locle",+41 32 933 53 12,http://dc-immo.ch/contact,
Thierry Bernardin Safti Immobilier Villers le Lac,"41 Rue du Maréchal Juin, 25130 Villers-le-Lac, France",+33 6 73 57 57 68,https://www.safti.fr/votre-conseiller-safti/thierry-bernardin,
Dial Immobiliers SA,"Rte de la Combe-Girard 4, 2400 Le Locle",+41 79 894 10 20,,
Praesentia,"Rue Girardet 33, 2400 Le Locle",+41 32 931 15 80,https://www.praesentia.ch/index.php/contact,
Fondation La Résidence,"Rue des Billodes 40, 2400 Le Locle",+41 32 933 21 11,http://www.fondationlaresidence.ch/,
Hervé Schick SA,"Rue de la Jambe-Ducommun 6A, 2400 Le Locle",+41 32 910 20 89,,
Agence immobilière Neho,"Rue du Grand-Pré 2A, 1007 Lausanne",+41 21 588 14 14,https://neho.ch/fr?utm_source=SEO&utm_medium=GMB&utm_campaign=CTA&utm_content=Page_locale,https://neho.ch/fr/immobilier
Espace Location,"Av. Léopold-Robert 67, 2300 La Chaux-de-Fonds",+41 32 913 54 26,http://www.espace-location.ch/,
Praesentia Finance SA,"Montperreux 5B, 2400 Le Locle",+41 32 931 15 79,https://yellow.local.ch/d/NFxN22yf8EGQSgv4vb_bQQ,
Perez immo (ex-Régis Boudry immobilier) - Agence immobilière à Bousbecque,"18 Pl. du Général de Gaulle, 59166 Bousbecque, France",+33 3 20 46 16 03,https://www.perezimmo.com/,
Hestia immobilier,"Rte de la Gare 68, 2017 Boudry",+41 79 779 89 35,https://www.immo-hestia.ch/,
Seb'Immo - Sébastien Maire,"Rue des Cèdres 17, 2017 Boudry",+41 79 903 47 77,https://www.sebimmo.ch/,https://www.sebimmo.ch/nos-biens/
"Merse IMMO, Succursale de Cortaillod","Rte de Boudry 22a, 2016 Cortaillod",+41 32 387 84 00,http://www.merseimmo.ch/,https://merseimmo.ch/fr/objets-a-acheter/
C-Lagérance,"Rue du Sentier 3, 2013 Colombier",+41 32 535 31 77,https://c-lagerance.ch/,
A. Gesteam Sàrl,"Av. de la Gare 8, 2013 Colombier",+41 32 841 19 33,http://www.agesteam.ch/,
B2P,"Rue du Château 2, 2013 Colombier",+41 32 841 62 15,https://www.b2p.ch/,
SINE - Salon de l'Immobilier Neuchâtelois,"Patinoires du Littoral, Quai Robert-Comtesse, 2000 Neuenburg",,http://www.sine.ch/,
Sensia Concept SA,"All. du Bied 70, 2013 Neuchâtel",+41 32 755 73 33,,
C-lagérance Christiane Walter,"Rue du Sentier 3, 2013 Colombier",+41 32 535 31 77,https://www.c-lagerance.ch/,
Offidus Régie Immobilière SA,"En, Chem. en Segrin 1, 2016 Cortaillod",+41 32 843 02 92,http://www.offidus.ch/,https://offidus.ch/accueil/locations/vente/
Rotilio Immobilier SA,"Chem. du Canal 12, 2016 Cortaillod",+41 32 722 18 90,http://www.rotilio-immobilier.ch/,https://www.rotilio-immobilier.ch/fr/acheter
"Atrium, conseils et gestion immobilière Sàrl","Rte de l'Areuse 5, 2016 Cortaillod",+41 32 841 70 00,http://www.atrium2016.ch/,https://atrium2016.ch/acheter/
MATimmob Management SA,"Rte de Boudry 22A, 2016 Cortaillod",+41 32 387 84 00,https://merseimmo.ch/,https://merseimmo.ch/fr/objets-a-acheter/
Patrick-Immobilier Sàrl,"Chem. des Jordils 21, 2016 Cortaillod",+41 32 924 44 99,https://www.patrick-immobilier.ch/,https://www.patrick-immobilier.ch/fr/c/objets-vendus-22047
Locations Locaux Perret,"Rte de Boudry 22, 2016 Cortaillod",+41 32 841 58 18,,
Maintenance Immobilière Addor Sàrl,"Rue de la Fin 2, 2016 Cortaillod",+41 32 841 55 89,,
GOimmo | Gaëlle Oggier,"Chem. en Segrin 3, 2016 Cortaillod",+41 76 837 87 38,,
