key,name,current_url,new_listings_url
homewell,Homewell,https://www.homewell.ch/,https://homewell.ch/immobilier/search-results/?status[]=&keyword=&type[]=&location[]=&max-price=any
bcImmo,BC Immo,https://www.bcimmo.ch/,https://www.bcimmo.ch/fr/acheter
proximmo,Proximmo,https://www.proximmo.ch/,https://proximmo.ch/fr/acheter?name=&code=&search=&code=&id=&search=&surfaceMin=&surfaceMax=&reference=
atticaImmobilier,Attica Immobilier,https://www.atticaimmobilier.ch/,https://atticaimmobilier.ch/a-vendre/#essentiel
courvoisier,Courvoisier Immo,https://www.courvoisier.immo/,https://www.courvoisier.immo/acheter/
omnia,Omnia,https://www.omnia.ch/,https://omnia.ch/acheter/
ethicImmobilier,Ethic Immobilier,https://ethic-immobilier.ch/,https://ethic-immobilier.ch/locations-et-ventes/
regieDuboux,Regie Du Boux,https://www.regieduboux.ch/,https://regieduboux.ch/acheter/
golayImmobilier,Golay Immobilier,https://www.golay-immobilier.ch/,https://www.golay-immobilier.ch/a-vendre/
dezage,Dezage,https://www.dezage.ch/,https://dezage.ch/immobilien/?availabilities[]=active&availabilities[]=reserved&availabilities[]=taken&salestype[]=buy
pbbg,PBBG,https://www.pbbg.ch/,https://pbbg.ch/ventes/
esteHomes,Este Homes,https://www.este-homes.ch/fr/,https://este-homes.ch/acheter-montreux/
transaxia,Transaxia,https://www.transaxia.ch/,https://www.transaxia.ch/vente+immobilier.html
cgsImmobilier,CGS Immobilier,https://cgs-immobilier.ch/,https://cgs-immobilier.ch/acheter/
julienVolet,Julien Volet,https://www.julienvolet.ch/,https://www.habeg.ch/biens
cofimo,Cofimo,https://www.cofimo.ch/,https://www.cofimo.ch/fr
gendreEmonet,Gendre & Emonet,https://www.gendre-emonet.ch/,https://www.gendre-emonet.ch/fr/acheter?hm=1
rivieraProperties,Riviera Properties,https://www.rivieraproperties.ch/,https://www.rivieraproperties.ch/fr/ol/9247
sothebys,Sotheby's Realty,https://www.switzerland-sothebysrealty.ch/,https://www.switzerland-sothebysrealty.ch/acheter
blueImmobilier,Blue Immobilier,https://www.blueimmobilier.ch/,
verbel,Verbel,https://www.verbel.ch/,"https://www.verbel.ch/acheter/?_localisation=&_prix[]=0&prix[]=11500000&_min_max_m2[]=0&min_max_m2[]=1326&_radius=15&__prix=0&_prix=0,11500000&__min_max_m2=0&_min_max_m2=0,1326"
suisseRiviera,Suisse Riviera Immobilier,https://www.suisse-riviera-immobilier.com/,
ernstBeier,Ernst Beier,https://www.ernstbeier.ch/,
lcImmobilier,LC Immobilier,https://www.lc-immobilier.ch/,https://www.lc-immobilier.ch/filter/type/sell
lagenceImmobiliere,L'Agence Immobiliere,https://lagence-immobiliere.ch/,https://lagence-immobiliere.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&salestypes[]=buy
lcrImmo,LCR Immo,https://www.lcr-immo.ch/,https://lcr-immo.ch/recherche?transaction=buy&propertyType=all&location=&room=1&radius=10
swixim,Swixim,https://www.swixim.ch/,https://www.swixim.com/fr/acheter/
profilId,Profil ID,https://profil-id.ch/,https://profil-id.ch/immobilien/?availabilities[]=active&availabilities[]=taken&availabilities[]=reserved&salestypes[]=buy
wRe,W Real Estate,https://www.w-re.ch/,https://wlre.ch/bien-category/
rilsa,Rilsa,https://www.rilsa.ch/,
helvetImmo,Helvet Immo,https://www.helvet-immo.ch/,https://www.helvet-immo.ch/fr/recherche
regicote,Regicote,https://www.regicote.ch/,https://regicote.ch/sale-listings/
swissdomImmo,Swissdom Immo,https://www.swissdom-immo.ch/,
morgesImmo,Morges Immo,https://www.morgesimmo.ch/,https://morgesimmo.ch/immobilien/
gaiaImmobilier,Gaia Immobilier,https://www.gaia-immobilier.ch/,https://gaia-immobilier.ch/achat/
reyImmobilier,Rey Immobilier,https://reyimmobilier.ch/,https://reyimmobilier.ch/achat/
sherlockHomes,Sherlock Homes,https://sherlockhomes.ch/,
deLuze,De Luze,https://deluze.ch/,https://deluze.ch/sale-listings/
lugrinImmobilier,Lugrin Immobilier,https://lugrinimmobilier.ch/,
laSuiteImmo,La Suite Immo,https://www.lasuiteimmo.ch/,https://lasuiteimmo.ch/acheter/
ril,RIL,https://ril.ch/,https://ril.ch/acheter/
geranceJotterand,Gerance Jotterand,https://www.gerancejotterand.ch/,
cedimmo,Cedimmo,https://www.cedimmo.ch/,
aImmobilier,A-Immobilier,https://a-immobilier.ch/,
curtetImmobilier,Curtet Immobilier,https://www.curtet-immobilier.ch/,https://curtet-immobilier.ch/properties-grid-view-3-cols/
amma,Amma Immo,https://amma.immo/,https://amma.immo/acheter/
