key,name,current_url,new_listings_url
homewell,Homewell,https://www.homewell.ch/,
bcImmo,BC Immo,https://www.bcimmo.ch/,
proximmo,Proximmo,https://www.proximmo.ch/,
atticaImmobilier,Attica Immobilier,https://www.atticaimmobilier.ch/,
courvoisier,Courvoisier Immo,https://www.courvoisier.immo/,
omnia,Omnia,https://www.omnia.ch/,
ethicImmobilier,Ethic Immobilier,https://ethic-immobilier.ch/,
regieDuboux,Regie Du Boux,https://www.regieduboux.ch/,
golayImmobilier,Golay Immobilier,https://www.golay-immobilier.ch/,
dezage,Dezage,https://www.dezage.ch/,
pbbg,PBBG,https://www.pbbg.ch/,
esteHomes,Este Homes,https://www.este-homes.ch/fr/,
transaxia,Transaxia,https://www.transaxia.ch/,
cgsImmobilier,CGS Immobilier,https://cgs-immobilier.ch/,
julienVolet,Julien Volet,https://www.julienvolet.ch/,
cofimo,Cofimo,https://www.cofimo.ch/,
gendreEmonet,Gendre & Emonet,https://www.gendre-emonet.ch/,
rivieraProperties,Riviera Properties,https://www.rivieraproperties.ch/,
sothebys,Sotheby's Realty,https://www.switzerland-sothebysrealty.ch/,
blueImmobilier,Blue Immobilier,https://www.blueimmobilier.ch/,
verbel,Verbel,https://www.verbel.ch/,
suisseRiviera,Suisse Riviera Immobilier,https://www.suisse-riviera-immobilier.com/,
ernstBeier,Ernst Beier,https://www.ernstbeier.ch/,
lcImmobilier,LC Immobilier,https://www.lc-immobilier.ch/,
lagenceImmobiliere,L'Agence Immobiliere,https://lagence-immobiliere.ch/,
lcrImmo,LCR Immo,https://www.lcr-immo.ch/,
swixim,Swixim,https://www.swixim.ch/,
profilId,Profil ID,https://profil-id.ch/,
wRe,W Real Estate,https://www.w-re.ch/,
rilsa,Rilsa,https://www.rilsa.ch/,
helvetImmo,Helvet Immo,https://www.helvet-immo.ch/,
regicote,Regicote,https://www.regicote.ch/,
swissdomImmo,Swissdom Immo,https://www.swissdom-immo.ch/,
morgesImmo,Morges Immo,https://www.morgesimmo.ch/,
gaiaImmobilier,Gaia Immobilier,https://www.gaia-immobilier.ch/,
reyImmobilier,Rey Immobilier,https://reyimmobilier.ch/,
sherlockHomes,Sherlock Homes,https://sherlockhomes.ch/,
deLuze,De Luze,https://deluze.ch/,
lugrinImmobilier,Lugrin Immobilier,https://lugrinimmobilier.ch/,
laSuiteImmo,La Suite Immo,https://www.lasuiteimmo.ch/,
ril,RIL,https://ril.ch/,
geranceJotterand,Gerance Jotterand,https://www.gerancejotterand.ch/,
cedimmo,Cedimmo,https://www.cedimmo.ch/,
aImmobilier,A-Immobilier,https://a-immobilier.ch/,
curtetImmobilier,Curtet Immobilier,https://www.curtet-immobilier.ch/,
amma,Amma Immo,https://amma.immo/,
bobstImmobilier,Bobst Immobilier,https://www.bobst-immobilier.ch/,
castellaImmobilier,Castella Immobilier,https://www.castella-immobilier.ch/,
capitalFirst,Capital First,https://www.capitalfirst.ch/,
regieDecker,Regie Decker,https://www.regiedecker.ch/,
rockwell,Rockwell,https://www.rockwell.ch/,
christeImmo,Christe Immo,https://www.christe-immo.ch/,
krealImmo,Kreal Immo,https://krealimmo.ch/,
myHomeImmobilier,My Home Immobilier,https://www.myhomeimmobilier.ch/,
phoenixImmobilier,Phoenix Immobilier,https://www.phoenix-immobilier.ch/,
votreCourtier,Votre Courtier,https://www.votrecourtier.ch/,
realtaImmo,Realta Immo,https://www.realtaimmo.ch/,
valhome,Valhome,https://valhome.ch/,
monnierImmo,Monnier Immo,https://monnier-immo.ch/,
regiePrivee,Regie Privee,https://www.regieprivee.ch/,
immoConsulting,Immo Consulting,https://www.immo-consulting.ch/,
acheterLouer,Acheter Louer,https://www.acheter-louer.ch/,
impulseProperties,Impulse Properties,https://www.impulseproperties.ch/,
scImmo,SC Immo,https://www.scimmo.ch/,
foncimo,Foncimo,https://foncimo.ch/,
intergerance,Intergerance,https://www.intergerance.ch/,
selectImmo,Select Immo,https://www.selectimmo.ch/,
ceriseImmobilier,Cerise Immobilier,https://www.cerise-immobilier.ch/,
valImmobilier,Val Immobilier,https://valimmobilier.ch/,
alturaCollection,Altura Collection,https://alturacollection.ch/,
drapelImmobilier,Drapel Immobilier,https://drapelimmobilier.ch/,
