name,city,Company Full Url,URL Direct
AC Immobilis Sàrl,1763 Granges-Paccot,https://www.acimmobilis.ch/,https://www.acimmobilis.ch/objets-a-vendre-
Agence Immobilière Paul Eigenmann SA,1723 Marly,,
Agence immobilière votrecourtier.ch SA Fribourg,1723 Marly,https://votrecourtier.ch/,https://votrecourtier.ch/tous-nos-biens/
Antama Immo SA,1700 Fribourg,https://antama-groupe.ch/en/,
Anthony Immobilier SA,1782 Belfaux,http://www.anthony-immobilier.ch,https://www.anthony-immobilier.ch/a-vendre
ANURA SA,1723 Marly,https://anura.ch/,https://anura.ch/vente/
arke Immobilier,1700 Fribourg,https://www.arkea-immobilier-conseil.fr/,
B4 Ivan Bühlmann,1726 Farvagny-le-Grand,https://kompany.com,
Barbara Progin Immobilier,1630 Bulle,https://www.barbaraprogin.immo/en,https://www.barbaraprogin.immo/to-sale
Bati.ch,1630 Bulle,https://bati.ch/,
La Rieta 19,1630 Bulle,,
Bethel Immo,1680 Romont FR,https://bethel-immo.ch/,https://bethel-immo.ch/sale-listings/
Romont,1680 Romont FR,,
BMC Immobilier,1566 St-Aubin FR,https://www.bmc-immobilier.fr/,
BRG-IMMO,1669 Les Sciernes-d'Albeuve,https://hotel-marrakesh-320.marrakeshotels.com/en/,
Bujar Immobilier SA,1564 Domdidier,,
Cas-Art Agence Immobilière,1630 Bulle,https://cas-art-immo.ch/,https://cas-art-immo.ch/sale-listings/
Castor immobilier,1680 Romont FR,https://www.immocastor.com/,
CGS GLOBAL IMMOBILIER SA - Châtel-St-Denis,1618 Châtel-St-Denis,https://cgs-immobilier.ch/,https://cgs-immobilier.ch/acheter/
"74, Rte de la Coula",1618 Châtel-St-Denis,,
Citrusimmo,1630 Bulle,https://www.citrusimmo.ch/,
CLG immo Sàrl,1661 Le Pâquier-Montbarry,https://clg-immo.ch,
Concept'Immo Sàrl,1630 Bulle,https://conceptimmo.ch/,https://conceptimmo.ch/properties-search/?status=a-vendre
Confort Habitat Suisse SA,1757 Noréaz,,
Cottier Gérance,1700 Fribourg,https://www.solutionhabitat.ch/,https://www.solutionhabitat.ch/bien-immobilier-a-vendre/
Au Village,1637 Charmey (Gruyère),https://uvillage.com/,
Dan-Immobilier,1684 Mézières FR,https://www.dan-immobilier.ch/,
De Schenk Immobilier,1544 Gletterens,,
DelaPrairie SA,1667 Enney,,
Domivo,1615 Bossonnens,https://domivo.ch/,
Domoa Sàrl,1741 Cottens FR,https://www.domoa.ch/,https://www.domoa.ch/biens-a-vendre/
Eazy Immo Sàrl,1619 Les Paccots,https://eazyimmo.ch/,https://eazyimmo.ch/biens-en-vente
Ecoquartier des Echervettes,1680 Romont FR,http://www.echervettes.ch/,https://www.echervettes.ch/vente
Eiriz Réalisations & Immobilier SA,1726 Farvagny-le-Grand,https://www.eiriz.ch/,
In-Riaux 12,1726 Farvagny-le-Grand,,
ELELAM Sàrl,1635 La Tour-de-Trême,,
Emblema Group SA,1700 Fribourg,https://www.emblema.group/,https://www.emblema.group/realty
Entr'Toits Sàrl,1630 Bulle,,
espacecimsa,1470 Estavayer-le-Lac,https://ecim.ch/,
Le Piolet 25,1470 Estavayer-le-Lac,https://le-piolet.courmayeur-hotels.com/en/,
Essity,1566 St-Aubin FR,https://www.essity.com/,
