name,city,Company Full Url
AC Immobilis Sàrl,1763 Granges-Paccot,https://www.acimmobilis.ch/
Agence Immobilière Paul Eigenmann SA,1723 Marly,
Agence immobilière votrecourtier.ch SA Fribourg,1723 Marly,https://votrecourtier.ch/
Antama Immo SA,1700 Fribourg,https://antama-groupe.ch/en/
Anthony Immobilier SA,1782 Belfaux,http://www.anthony-immobilier.ch
ANURA SA,1723 Marly,https://anura.ch/
arke Immobilier,1700 Fribourg,https://www.arkea-immobilier-conseil.fr/
B4 Ivan Bühlmann,1726 Farvagny-le-Grand,https://kompany.com
Barbara Progin Immobilier,1630 Bulle,https://www.barbaraprogin.immo/en
Bati.ch,1630 Bulle,https://bati.ch/
La Rieta 19,1630 Bulle,
Bethel Immo,1680 Romont FR,https://bethel-immo.ch/
Romont,1680 Romont FR,
BMC Immobilier,1566 St-Aubin FR,https://www.bmc-immobilier.fr/
BRG-IMMO,1669 Les Sciernes-d'Albeuve,https://hotel-marrakesh-320.marrakeshotels.com/en/
Bujar Immobilier SA,1564 Domdidier,
Cas-Art Agence Immobilière,1630 Bulle,https://cas-art-immo.ch/
Castor immobilier,1680 Romont FR,https://www.immocastor.com/
CGS GLOBAL IMMOBILIER SA - Châtel-St-Denis,1618 Châtel-St-Denis,https://cgs-immobilier.ch/
"74, Rte de la Coula",1618 Châtel-St-Denis,
Citrusimmo,1630 Bulle,https://www.citrusimmo.ch/
CLG immo Sàrl,1661 Le Pâquier-Montbarry,https://clg-immo.ch
Concept'Immo Sàrl,1630 Bulle,https://conceptimmo.ch/
Confort Habitat Suisse SA,1757 Noréaz,
Cottier Gérance,1700 Fribourg,https://www.solutionhabitat.ch/
Au Village,1637 Charmey (Gruyère),https://uvillage.com/
Dan-Immobilier,1684 Mézières FR,https://www.dan-immobilier.ch/
De Schenk Immobilier,1544 Gletterens,
DelaPrairie SA,1667 Enney,
Domivo,1615 Bossonnens,https://domivo.ch/
Domoa Sàrl,1741 Cottens FR,https://www.domoa.ch/
Eazy Immo Sàrl,1619 Les Paccots,https://eazyimmo.ch/
Ecoquartier des Echervettes,1680 Romont FR,http://www.echervettes.ch/
Eiriz Réalisations & Immobilier SA,1726 Farvagny-le-Grand,https://www.eiriz.ch/
In-Riaux 12,1726 Farvagny-le-Grand,
ELELAM Sàrl,1635 La Tour-de-Trême,
Emblema Group SA,1700 Fribourg,https://www.emblema.group/
Entr'Toits Sàrl,1630 Bulle,
espacecimsa,1470 Estavayer-le-Lac,https://ecim.ch/
Le Piolet 25,1470 Estavayer-le-Lac,https://le-piolet.courmayeur-hotels.com/en/
Essity,1566 St-Aubin FR,https://www.essity.com/
Firmann Immo SA,1630 Bulle,
First Immobilier,1630 Bulle,https://firstimmobilier.fr/
FRevaz Consult Sàrl,1763 Granges-Paccot,https://frevaz-consult.ch/
GAP Immobilier Sàrl,1615 Bossonnens,https://gap-immobilier.ch
Gasser Immobilier,1647 Corbières,https://gasser-immobilier.ch
Gérance C SA - Villars-sur-Glâne,1752 Villars-sur-Glâne,https://www.gerancec.ch/en
Gérance D & G SA,1728 Rossens FR,https://www.gerancedg.com/en
Gerofinance-Dunand SA - Service Location - Fribourg,1700 Fribourg,https://www.gerofinance.ch/
GESTI SA,1700 Fribourg,https://www.gesticorpsa.com/en
gestina SA,1700 Fribourg,http://www.gestina.ch
Groupe B Suisse SA,1782 Lossy,
Groupe SF Immo SA,1700 Fribourg,https://groupe-sfimmo.ch/en/
HEKON Sàrl,1723 Marly,https://hekon.ch/
home creation architecture Sàrl,1624 Grattavache,https://home-creation.ch/
Home4me SA,1700 Fribourg,https://home4me.ch/
HUBIMMO Partenariat Immobilier SARL,1566 St-Aubin FR,
Husson Immobilier,1532 Fétigny,https://hussonimmobilier.ch/
Le Bugnon 19,1532 Fétigny,
iDimmobilier SA,1630 Bulle,https://idimmobilier.ch
Immo Millénium,1731 Ependes FR,https://immo-millenium.ch/
La Pala d'Amont 16,1731 Ependes FR,
IMMO TGB SA,1628 Vuadens,https://immotgb.ch
immo63,3280 Morat,https://www.63immobilier.com/
Beaulieu 63,3280 Morat,
Immobilier Tinguely Sàrl,1624 Grattavache,https://immobilier-tinguely.ch/
IMMOSEEKER AG,3280 Morat,https://immoseeker.ch
Iso Immo SA,1627 Vaulruz,https://isofutur.ch
Champ-Paccot 4,1627 Vaulruz,
ISTAR Immobilier Sàrl,1773 Léchelles,https://istarimmo.ch
Jinène SA,3212 Gurmels,https://jinene-travel.ch/
Holzacher 51,3212 Gurmels,
JPF Immobilier SA,1630 Bulle,https://jpf-immobilier.ch
JRB Immobilier,1630 Bulle,https://www.jrb-immobilier.ch/
JRT Immobilier,1680 Berlens,
JS Conseil,1680 Romont FR,https://www.js-conseil.fr/
L'YMO Conseils Sàrl,1623 Semsales,
La Gérance Bersier Weibel Sàrl,1723 Marly,
La Pierre Immobilier,1680 Romont FR,https://www.lapierre-immobilier.ch/
Grand Rue 35,1680 Romont FR,
LB Gérance SA,1723 Marly,https://lb-immobilier.ch/
LB Immobilier,1616 Attalens,https://lb-immobilier.ch/
Line Barras,1628 Vuadens,
Champ de Lune 11,1470 Estavayer-le-Lac,
LUBA Courtage & Estimations immobilières,3280 Meyriez,https://luba.ch/
MA Gérance Sàrl,1678 Siviriez,https://www.mamaisonimmo.ch/
MAV immobilier sarl,1680 Romont FR,https://mavimmo.ch/
MBA Immoplus Sàrl,1762 Givisiez,
MCBimmo,1635 La Tour-de-Trême,https://mcbimmo.ch
MDC Immobilier Sàrl,1617 Remaufens,https://mdcimmobilier.ch
MK.IMMO Sàrl,1630 Bulle,https://mkimmo-sarl.ch
Monney Immobilier SA,1619 Les Paccots,https://monney-immobilier.ch/
MPI Marc Progin,1630 Bulle,https://marc-progin-immo.ch
Muller Immobilier,1608 Chapelle (Glâne),https://www.muller-immobilier.com/
Naboo Immobilier SA,1680 Romont FR,
NewImmoJess SA,3280 Morat,
Norbert Chardonnens SA,1564 Domdidier,https://www.chardonnens.ch
NS IMMOBILIEN,1712 Tafers,https://www.novascotia-immobilien.de/en/
O2 immo Sàrl,1680 Romont FR,https://o2immo.ch/
La Maillarde 9,1680 Romont FR,https://o2immo.ch/
Olimmo,1744 Chénens,
OML Immo,1630 Bulle,https://omlimmo.ch/
Pam Immobilier,1528 Surpierre,https://pamimmobilier.ch/
parcelle 12,1625 Sâles (Gruyère),https://parcelle12.ch/
POLYGONE Constructions Sàrl,1566 St-Aubin FR,https://polygone-constructions.ch
Prestige Investment Sàrl,1763 Granges-Paccot,https://prestigeinvestment.ch/
PRIVERA AG - Fribourg,1700 Fribourg,https://www.privera.ch/
PRN Construction Sàrl,1630 Bulle,
Progin & Grangier Immobilier Sàrl,1630 Bulle,https://www.progin-grangier.ch/
Proxiland Sàrl,1752 Villars-sur-Glâne,
R&B Immo Sàrl,1635 La Tour-de-Trême,https://r-b-immo.ch/
Raboud Group SA,1630 Bulle,http://www.raboudgroup.com
RD Immobilier,1673 Promasens,https://rdimmobilier.ch/
Regard immobilier Sàrl,1665 Estavannens,https://www.regard-immo.com/
Régie de Fribourg SA,1700 Fribourg,https://rfsa.ch
Champ de la Vigne 7,1470 Estavayer-le-Lac,
Régie Roland Donner,1568 Portalban,https://www.donner-immobilier.ch/
Rubik-immobilier Sàrl - Romont,1680 Romont FR,https://rubik-immo.ch/
RXJ Immo Sàrl,1566 St-Aubin FR,
Grand-Places 16,1700 Fribourg,
Grand Places 16,1700 Fribourg,https://thegrandlb.com/
Service Management Immobilier (SMI SA),1630 Bulle,https://smisa.ch
Services Comptables & Fiscaux MS,1680 Romont FR,https://www.ms-comptables.com/
SF Immobilier Sàrl,1630 Bulle,https://sfimmobilier.com/
Signature Immo,1726 Farvagny-le-Petit,https://www.signatureimmoltd.com/
Sodalitas SCI,1700 Fribourg,https://www.sodalitas.ch/fr
Sundance Property,1752 Villars-sur-Glâne,https://sundanceproperty.ch
Switzerland House.ch,1700 Fribourg,https://www.homegate.ch/en
Swixim Châtel-St-Denis - Pires Immobilier,1618 Châtel-St-Denis,
Toffel Immobilier,1752 Villars-sur-Glâne,https://toffel-immobilier.ch
Uniquimmo SA,1632 Riaz,https://www.uniquimmo.com/
UNSG Sàrl,1680 Romont FR,
VB IMMOBILIER,1618 Châtel-St-Denis,https://vb-immobilier.ch
Vicore SA,1678 Siviriez,https://vicorepharma.com/
Weber Immobilier,1700 Fribourg,https://www.weberimmobilier.com/
Weck Aeby & Cie SA,1700 Fribourg,https://weck-aeby.ch
WEDPRO Sàrl,1782 Belfaux,https://wedpro.swiss/
Wider Immo-Management Sàrl,1732 Arconciel,https://widerimmo.ch/
Winteam Immobilier Sàrl,1763 Granges-Paccot,https://www.winteam-immobilier.ch/
Chamblioux-Parc 24,1763 Granges-Paccot,
