name,city,Company Full Url
105 Immo,1205 Genève,https://105immo.ch
2Bimmo,1208 Genève,https://www.2bimmo.fr/
Ab2 Sàrl,1223 Cologny,
Acasa Immobilier & Habitat,1227 Carouge GE,https://acasa-immobilien.ch
ACRES SA,1207 Genève,https://acresusa.com/
Actimmo Sàrl,1225 Chêne-Bourg,https://actimmo-ge.ch
AD Realestate,1206 Genève,https://www.adrealestateappraisal.com/
Aeliteinvest - OTTO MATRAY,1255 Veyrier,
AFFAIRES TRANSACTIONS SARL,1213 Onex,https://affrt.ch
Agence ACC Sàrl,1201 Genève,
Agence du Rhône Genève-Cité Sàrl,1204 Genève,https://agencedurhone.ch/
Agence Gérard Paley et Fils SA,1234 Vessy,https://www.gpaley.ch/
Agence Immobilière A.-E Schmid SA,1253 Vandoeuvres,
Agence K2,1225 Chêne-Bourg,https://www.agencek2.com/
AGIM SA,1201 Genève,http://www.agim.ch/
AGOSTA REALTY,1206 Genève,https://www.agostarealtygroup.com/
AISA GROUP,1204 Genève,https://www.aisagroup.ca/en/
Alkimia SA,1204 Genève,https://www.alkimia.ch
Alliance Immobilière Genevoise,1219 Châtelaine,https://aige.ch
Allianz Suisse Immobilier SA - Genève,1209 Genève,
ALPHA-LOGIS SA,1227 Carouge GE,https://alpha-logis.ch
AM Properties,1206 Genève,https://www.am-property.net/
Amanda Petitpierre,1202 Genève,
AMI International (Suisse) SA,1201 Genève,https://amint.ch/
Appartel Sàrl,1207 Genève,https://appartel.ch/
ARC PROPERTIES,1222 Vésenaz,https://arcproperties.ch
ARENIA.CH,1290 Versoix,https://arenia.ch/
Argecil SA,1207 Genève,http://www.argecil.ch
Arkady SA,1201 Genève,https://arkady.ch
Arveron,1213 Petit-Lancy,https://arveron.ch
Arveron Pilotage de projet – Promotions,1213 Petit-Lancy,
Atelia Sàrl,1204 Genève,https://realestate.atelia.ch/
ATELIER NOMBRE D'OR,1203 Genève,https://nombredor.ch
ATON Développement SA,1218 Le Grand-Saconnex,https://atonsa.ch
AXS Immobilier,1227 Carouge GE,https://axs-immobilier.com/
B. Mooser Immobilier,1216 Cointrin,https://bm-immo.ch/
B.L.A.G Sàrl,1208 Genève,https://www.sophos.com/
Bal Partners immo SA,1214 Vernier,https://bal-partners.ch
Bartel Immobilier,1224 Chêne-Bougeries,
BCC – Business-Center Carouge,1227 Carouge GE,https://bcc-urbanstudios.com
Beaver Immobilier SA,1213 Petit-Lancy,http://www.beaver-immo.ch
BECREM LLC,1205 Genève,https://becrem.com/
BEFI SA,1204 Genève,https://befi.ch
BELAIR RealEstate,1201 Genève,
Bellerive Properties,1222 Vésenaz,https://bellerive-properties.ch/
BERIC Management SA,1205 Genève,https://beric.ch
Bernard Nicod Genève,1207 Genève,https://bernard-nicod.ch
Bernard Nicod Genève - Gérance,1207 Genève,https://www.bernard-nicod.ch/
Berthault Immobilier,1223 Cologny,https://berthault.ch/en
Bertoc Immo SA,1227 Carouge GE,https://bertoc-immo.ch
"Besson, Dumont, Delaunay & Cie SA",1227 Les Acacias,https://www.bdd.ch/
BGG Immobilier,1227 Carouge GE,https://www.bgg-immobilier.com/
Bien en Viager,1213 Petit-Lancy,https://viagers.ch
Boutique Immo,1206 Genève,http://www.boutiqueimmo.ch
BR Consulting,1227 Carouge GE,http://rojanawisut.ch
Bridge SA,1203 Genève,http://www.bridge-sa.com
Buldia,1204 Genève,https://www.buldia.com/
BURKARD Experts-comptables SA,1204 Genève,https://burkard-fiduciaire.ch
C-Line Immobilier,1206 Genève,https://c-lineimmobilier.com
C&C Concepts & Conseils SA,1205 Genève,https://www.ccconcept.ch/CC/
Cabinet Tealas SA,1227 Carouge GE,
Campus,1204 Genève,https://www.campus-offices.ch
Canelé Group,1204 Genève,https://canelegroup.com/en/
CAP HOME Sàrl,1255 Veyrier,https://caphome.ch/
CAT IMMOBILIER Sàrl,1205 Genève,https://www.cat-immobilier.com/
CBRE SA - Genève,1201 Genève,https://www.cbre.ch/
CCI France Suisse,1226 Thônex,https://www.ccifs.ch/
cfimmobilier,1208 Genève,https://immobilier.ch
CHARLES BESUCHET SA,1208 Genève,https://besuchet.ch
Classicus Real Estate SA,1234 Vessy,https://c-re.ch
Clear Eight Property,1207 Genève,https://clr8.property/
CMD promotion SA,1227 Carouge GE,https://cmd-promotion.ch/
"Codha, Coopérative de l'habitat associatif",1205 Genève,https://www.codha.ch/
Cogestar Properties,1201 Genève,https://cogestarproperties.com/
Ch des Mines 2,1201 Genève,
Compagnie Foncière du Léman,1237 Avully,https://fonciere.ch/
Compagnie Foncière du Mont-Blanc SA,1202 Genève,https://linktr.ee/cfmb.realestate
Compagnie Immobilière du Léman SA,1212 Grand-Lancy,https://www.ci-leman.ch/en
Cours de Rive 7,1204 Genève,https://comptoir-immo.ch/
Cramer & Associés Sàrl,1245 Collonge-Bellerive,https://www.crameretassocies.com/fr
"15b, chemin du Port-de-Bellerive",1245 Collonge-Bellerive,
Cristal Immobilier,1222 Vésenaz,https://www.cristal-immo.fr/
Cross immobilier SA,1207 Genève,
Crowdpark SA,1217 Meyrin,https://www.crowdpark.ch/
Crown Real Estate,1204 Genève,https://www.crownrealty.com/
Esplanade de Pont-Rouge 2,1212 Grand-Lancy,https://alto-pont-rouge.ch/en/
Cyrille de Planta immobilier,1208 Genève,https://deplanta.net/
DAGE Sarl,1211 Genève,https://www.dupont.com/
Davel Immobilier Sarl,1206 Genève,http://www.davelimmobilier.ch
DESORMIERE & VANHALST Sàrl,1256 Troinex,https://desormiere-vanhalst.ch/
Dexia SA,1231 Conches,https://www.dexia.com/en
Direct-Immo SA,1227 Les Acacias,https://www.direct-immo.be/en
Diversification Europe SA,1201 Genève,https://www.diversification-europe.ch/
Dominicé & Co,1204 Genève,https://www.dominice.com/
E.A.M SA - Estate Agency Management SA,1207 Genève,https://eam-sa.com
EASY FLAT Sàrl,1202 Genève,http://www.easyflat.ch
ED Properties Sàrl,1207 Genève,
EDELROC,1227 Les Acacias,
EGimmobilier SA,1204 Genève,https://egimmo.ch
Elite House Private Real Estate,1203 Genève,https://elitehouserealestate.com/
Elite Relocation,1202 Genève,https://eliterelocationsd.com/
Elucimmo SA,1253 Vandoeuvres,https://elucimmo.ch
Emile Garcin Suisse,1206 Genève,
Engel & Völkers - Genève,1204 Genève,
Envisages Sàrl,1290 Versoix,http://envisages.ch/
Espace S Sàrl,1218 Le Grand-Saconnex,
Expat Services Relocation,1215 Genève Aéroport,https://expat-services-relocation.ch
"1, Rte de l'Aéroport",1215 Genève Aéroport,
Expat-Experts / Commimage Sàrl,1205 Genève,
Fatima TAYAN,1209 Genève,
"3A, rue de Moillebeau",1209 Genève,
FF immobilier SA,1202 Genève,
Cours de Rive 1,1204 Genève,
Fidys Group Immobilier,1219 Châtelaine,https://fidysgroup.ch/gestion-de-limmobilier
FIPOI,1202 Genève,https://fipoi.ch
First Home Immobilier,1205 Genève,http://www.firsthome.ch
Firstones,1256 Troinex,https://firstonsite.com/
Florence Marchand Architecture,1207 Genève,
Florian Martin,1201 Genève,
FM Management,1204 Genève,https://fm.ufs.arizona.edu/
For U Relocation Sàrl,1204 Genève,https://www.forureloc.com/
Cours de Rive 4,1204 Genève,
Fortissimmo,1227 Carouge GE,https://www.fortissimorestaurant.com/
Foxhomes,1202 Genève,https://foxhomes.net/
La voie creuse 3C,1202 Genève,
FP Immobilier,1248 Hermance,https://www.fpimmobilier.com/
Friedli Consulting - Elément terre,1298 Céligny,
Frontalier Finance,1258 Perly,https://www.frontalierfinance.com/
GABB-IMMO Sàrl,1232 Confignon,https://gabb-immo.ch
Carrefour de Rive 1,1207 Genève,
GEDEFI Asset Management SA,1242 Satigny,https://gedefi.com
Pré de la Fontaine 19,1242 Satigny,
Geneva Homes SA,1208 Genève,https://genevahomes.ch
40A Route de Malagnou,1208 Genève,
Geneva LuxEstate,1222 Vésenaz,https://luxestate.vip/
Geneva One Properties,1245 Collonge-Bellerive,
Gérance Immobilière Municipale,1204 Genève,
Gérard Baezner & Cie SA,1205 Genève,https://www.regiebaezner.ch/
Gérofinance-Dunand SA,1219 Châtelaine,https://en.gerofinance.ch/
Gerofinance-Dunand SA - Service Location - Genève,1219 Châtelaine,https://en.gerofinance.ch/
Gestassist Immobilier & Décoration,1222 Vésenaz,https://www.gestassist.ch/
GESTICORP SA,1206 Genève,https://www.gesticorpsa.com/
Gestimob SA,1298 Céligny,https://www.gestimobsa.ch/
GH immobilier Sàrl,1247 Anières,https://ghimmobilier.ch/
